,,,,,,,,,,,
,,,,,,,,,,,
,Total Data,,,,,,,,,,
,Date,unique_idfas,unique_ips,unique_uas,total_requests,requests_per_idfa,impressions,impressions_per_idfa,idfa_ip_ratio,idfa_ua_ratio,IVT
,11 Sep to 15 Sep,436226,435390,1444,589208,1.350694365,0,0,1.001920118,302.0955679,0.9111157857
,,,,,,,,,,,
,,,,,,,,,,,
,Daily Data,,,,,,,,,,
,Date,unique_idfas,unique_ips,unique_uas,total_requests,requests_per_idfa,impressions,impressions_per_idfa,idfa_ip_ratio,idfa_ua_ratio,IVT
,2025-09-11 0:00:00,26051,26049,774,27023,1.037311428,0,0,1.000076778,33.65762274,0.2740602
,2025-09-12 0:00:00,162095,161975,1174,194185,1.197970326,0,0,1.000740855,138.0706985,0.9950554167
,2025-09-13 0:00:00,146191,146082,1171,165609,1.132826234,0,0,1.000746156,124.8428693,0.9972191667
,2025-09-14 0:00:00,150568,150428,1232,171836,1.141251793,0,0,1.000930678,122.2142857,0.9991055833
,2025-09-15 0:00:00,28822,28819,834,30555,1.06012768,0,0,1.000104098,34.558753,1
,,,,,,,,,,,
,,,,,,,,,,,
,Hourly Data,,,,,,,,,,
,Date,unique_idfas,unique_ips,unique_uas,total_requests,requests_per_idfa,impressions,impressions_per_idfa,idfa_ip_ratio,idfa_ua_ratio,IVT
,2025-09-11 14:00:00,1665,1665,336,1679,1.008408408,0,0,1,4.955357143,0
,2025-09-11 15:00:00,3123,3123,433,3154,1.009926353,0,0,1,7.212471132,0
,2025-09-11 16:00:00,4143,4143,466,4203,1.014482259,0,0,1,8.89055794,0.026316
,2025-09-11 17:00:00,3332,3332,432,3374,1.012605042,0,0,1,7.712962963,0
,2025-09-11 18:00:00,2361,2361,386,2381,1.008470987,0,0,1,6.116580311,0
,2025-09-11 19:00:00,2367,2367,386,2376,1.003802281,0,0,1,6.132124352,0
,2025-09-11 20:00:00,2682,2682,415,2708,1.009694258,0,0,1,6.462650602,0
,2025-09-11 21:00:00,2374,2374,405,2386,1.00505476,0,0,1,5.861728395,0.714286
,2025-09-11 22:00:00,2648,2648,421,2674,1.009818731,0,0,1,6.289786223,1
,2025-09-11 23:00:00,2081,2081,361,2088,1.003363767,0,0,1,5.764542936,1
,2025-09-12 0:00:00,2516,2516,406,2532,1.0063593,0,0,1,6.197044335,1
,2025-09-12 1:00:00,2027,2026,383,2038,1.005426739,0,0,1.000493583,5.292428198,1
,2025-09-12 2:00:00,2381,2381,402,2395,1.005879882,0,0,1,5.922885572,1
,2025-09-12 3:00:00,3201,3201,438,3243,1.0131209,0,0,1,7.308219178,1
,2025-09-12 4:00:00,2352,2352,403,2364,1.005102041,0,0,1,5.836228288,1
,2025-09-12 5:00:00,2883,2883,437,2912,1.010058966,0,0,1,6.597254005,1
,2025-09-12 6:00:00,3047,3047,459,3088,1.013455858,0,0,1,6.638344227,0.967742
,2025-09-12 7:00:00,4459,4459,492,4582,1.02758466,0,0,1,9.06300813,1
,2025-09-12 8:00:00,4046,4046,487,4157,1.027434503,0,0,1,8.308008214,1
,2025-09-12 9:00:00,4698,4698,520,4872,1.037037037,0,0,1,9.034615385,1
,2025-09-12 10:00:00,4909,4909,514,5124,1.043797107,0,0,1,9.550583658,0.981818
,2025-09-12 11:00:00,4643,4643,513,4864,1.047598535,0,0,1,9.050682261,1
,2025-09-12 12:00:00,4726,4726,499,4938,1.044858231,0,0,1,9.470941884,0.982456
,2025-09-12 13:00:00,4922,4922,514,5115,1.039211703,0,0,1,9.575875486,0.977273
,2025-09-12 14:00:00,5568,5568,505,5741,1.031070402,0,0,1,11.02574257,1
,2025-09-12 15:00:00,3896,3896,447,3968,1.018480493,0,0,1,8.715883669,1
,2025-09-12 16:00:00,3853,3853,465,3903,1.012976901,0,0,1,8.286021505,1
,2025-09-12 17:00:00,5511,5511,523,5607,1.017419706,0,0,1,10.53728489,1
,2025-09-12 18:00:00,21987,21985,734,23583,1.072588348,0,0,1.000090971,29.95504087,0.995595
,2025-09-12 19:00:00,23848,23845,748,25886,1.0854579,0,0,1.000125813,31.88235294,0.992727
,2025-09-12 20:00:00,24912,24908,754,26943,1.081526975,0,0,1.000160591,33.0397878,0.996454
,2025-09-12 21:00:00,13768,13767,675,14329,1.040746659,0,0,1.000072637,20.39703704,0.993289
,2025-09-12 22:00:00,15031,15028,702,15623,1.03938527,0,0,1.000199627,21.41168091,0.993976
,2025-09-12 23:00:00,15729,15728,715,16378,1.041261364,0,0,1.000063581,21.9986014,1
,2025-09-13 0:00:00,10329,10328,631,10660,1.032045697,0,0,1.000096824,16.36925515,1
,2025-09-13 1:00:00,5397,5396,510,5464,1.012414304,0,0,1.000185322,10.58235294,1
,2025-09-13 2:00:00,5380,5380,491,5447,1.012453532,0,0,1,10.95723014,1
,2025-09-13 3:00:00,3863,3863,459,3898,1.009060316,0,0,1,8.416122004,1
,2025-09-13 4:00:00,12982,12980,662,13320,1.02603605,0,0,1.000154083,19.6102719,0.984848
,2025-09-13 5:00:00,5476,5476,517,5542,1.012052593,0,0,1,10.59187621,1
,2025-09-13 6:00:00,8821,8821,630,9063,1.027434531,0,0,1,14.0015873,1
,2025-09-13 7:00:00,3325,3325,446,3370,1.013533835,0,0,1,7.455156951,1
,2025-09-13 8:00:00,4385,4385,523,4490,1.023945268,0,0,1,8.384321224,0.972222
,2025-09-13 9:00:00,4511,4511,526,4641,1.028818444,0,0,1,8.576045627,1
,2025-09-13 10:00:00,4630,4630,503,4800,1.036717063,0,0,1,9.204771372,1
,2025-09-13 11:00:00,4187,4187,479,4341,1.036780511,0,0,1,8.741127349,1
,2025-09-13 12:00:00,3923,3923,478,4058,1.034412439,0,0,1,8.207112971,0.97619
,2025-09-13 13:00:00,3717,3716,441,3839,1.032822168,0,0,1.000269107,8.428571429,1
,2025-09-13 14:00:00,3446,3446,450,3505,1.0171213,0,0,1,7.657777778,1
,2025-09-13 15:00:00,3741,3741,436,3784,1.011494253,0,0,1,8.580275229,1
,2025-09-13 16:00:00,3810,3810,441,3853,1.011286089,0,0,1,8.639455782,1
,2025-09-13 17:00:00,3601,3601,450,3638,1.010274924,0,0,1,8.002222222,1
,2025-09-13 18:00:00,3930,3930,466,3981,1.012977099,0,0,1,8.433476395,1
,2025-09-13 19:00:00,3353,3353,430,3386,1.009841933,0,0,1,7.797674419,1
,2025-09-13 20:00:00,4428,4427,481,4488,1.013550136,0,0,1.000225887,9.205821206,1
,2025-09-13 21:00:00,6226,6226,546,6352,1.020237713,0,0,1,11.4029304,1
,2025-09-13 22:00:00,22254,22250,749,23618,1.061292352,0,0,1.000179775,29.71161549,1
,2025-09-13 23:00:00,24559,24555,796,26071,1.061566025,0,0,1.0001629,30.85301508,1
,2025-09-14 0:00:00,30254,30248,855,32497,1.074138957,0,0,1.00019836,35.38479532,0.988338
,2025-09-14 1:00:00,14091,14090,698,14501,1.029096586,0,0,1.000070972,20.18767908,1
,2025-09-14 2:00:00,7179,7179,574,7309,1.018108372,0,0,1,12.50696864,1
,2025-09-14 3:00:00,8792,8792,612,8965,1.019676979,0,0,1,14.36601307,1
,2025-09-14 4:00:00,8258,8258,602,8459,1.024340034,0,0,1,13.71760797,1
,2025-09-14 5:00:00,7723,7722,598,7896,1.022400622,0,0,1.0001295,12.91471572,1
,2025-09-14 6:00:00,8612,8611,616,8851,1.027751974,0,0,1.000116131,13.98051948,0.990196
